datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-16 17:24,4.216,0.418,234.84,18.4,0,1,17
2006-12-16 17:25,5.36,0.436,233.63,23,0,1,16
2006-12-16 17:26,5.374,0.498,233.29,23,0,2,17
2006-12-16 17:27,5.388,0.502,233.74,23,0,1,17
2006-12-16 17:28,3.666,0.528,235.68,15.8,0,1,17
2006-12-16 17:29,3.52,0.522,235.02,15,0,2,17
2006-12-16 17:30,3.702,0.52,235.09,15.8,0,1,17
2006-12-16 17:31,3.7,0.52,235.22,15.8,0,1,17
2006-12-16 17:32,3.668,0.51,233.99,15.8,0,1,17
2006-12-16 17:33,3.662,0.51,233.86,15.8,0,2,16
2006-12-16 17:34,4.448,0.498,232.86,19.6,0,1,17
2006-12-16 17:35,5.412,0.47,232.78,23.2,0,1,17
2006-12-16 17:36,5.224,0.478,232.99,22.4,0,1,16
2006-12-16 17:37,5.268,0.398,232.91,22.6,0,2,17
2006-12-16 17:38,4.054,0.422,235.24,17.6,0,1,17
2006-12-16 17:39,3.384,0.282,237.14,14.2,0,0,17
2006-12-16 17:40,3.27,0.152,236.73,13.8,0,0,17
2006-12-16 17:41,3.43,0.156,237.06,14.4,0,0,17
2006-12-16 17:42,3.266,0,237.13,13.8,0,0,18
2006-12-16 17:43,3.728,0,235.84,16.4,0,0,17
2006-12-16 17:44,5.894,0,232.69,25.4,0,0,16
2006-12-16 17:45,7.706,0,230.98,33.2,0,0,17
2006-12-16 17:46,7.026,0,232.21,30.6,0,0,16
2006-12-16 17:47,5.174,0,234.19,22,0,0,17
2006-12-16 17:48,4.474,0,234.96,19.4,0,0,17
2006-12-16 17:49,3.248,0,236.66,13.6,0,0,17
2006-12-16 17:50,3.236,0,235.84,13.6,0,0,17
2006-12-16 17:51,3.228,0,235.6,13.6,0,0,17
2006-12-16 17:52,3.258,0,235.49,13.8,0,0,17
2006-12-16 17:53,3.178,0,235.28,13.4,0,0,17
2006-12-16 17:54,2.72,0,235.06,11.6,0,0,17
2006-12-16 17:55,3.758,0.076,234.17,16.4,0,0,17
2006-12-16 17:56,4.342,0.09,233.77,18.4,0,0,16
2006-12-16 17:57,4.512,0,233.62,19.2,0,0,17
2006-12-16 17:58,4.058,0.2,234.68,17.6,0,0,17
2006-12-16 17:59,2.472,0.058,236.94,10.4,0,0,17
2006-12-16 18:00,2.79,0.18,237.52,11.8,0,0,18
2006-12-16 18:01,2.624,0.144,238.2,11,0,0,17
2006-12-16 18:02,2.772,0.118,238.28,11.6,0,0,17
2006-12-16 18:03,3.74,0.108,236.93,16.4,0,16,18
2006-12-16 18:04,4.928,0.202,235.01,21,0,37,16
2006-12-16 18:05,6.052,0.192,232.93,26.2,0,37,17
2006-12-16 18:06,6.752,0.186,232.12,29,0,36,17
2006-12-16 18:07,6.474,0.144,231.85,27.8,0,37,16
2006-12-16 18:08,6.308,0.116,232.25,27,0,36,17
2006-12-16 18:09,4.464,0.136,234.66,19,0,37,16
2006-12-16 18:10,3.396,0.148,236.2,15,0,22,18
2006-12-16 18:11,3.09,0.152,237.07,13.8,0,12,17
2006-12-16 18:12,3.73,0.144,235.78,16.4,0,27,17
2006-12-16 18:13,2.308,0.16,237.43,9.6,0,1,17
2006-12-16 18:14,2.388,0.158,237.26,10,0,1,17
2006-12-16 18:15,4.598,0.1,234.25,21.4,0,20,17
2006-12-16 18:16,4.524,0.076,234.2,19.6,0,9,17
2006-12-16 18:17,4.202,0.082,234.31,17.8,0,1,17
2006-12-16 18:18,4.472,0,233.29,19.2,0,1,16
2006-12-16 18:19,2.852,0,235.61,12,0,1,17
2006-12-16 18:20,2.928,0,235.25,12.4,0,1,17
2006-12-16 18:21,2.94,0,236.04,12.4,0,2,17
2006-12-16 18:22,2.934,0,235.51,12.4,0,1,17
2006-12-16 18:23,2.926,0,235.68,12.4,0,1,17
2006-12-16 18:24,3.452,0,235.2,15.2,0,1,17
2006-12-16 18:25,4.87,0,233.74,20.8,0,1,17
2006-12-16 18:26,4.868,0,233.84,20.8,0,1,17
2006-12-16 18:27,4.866,0,233.79,20.8,0,1,17
2006-12-16 18:28,3.176,0,235.5,13.8,0,1,17
2006-12-16 18:29,2.92,0,235.84,12.4,0,1,17
2006-12-16 18:30,2.93,0,236.15,12.4,0,1,17
2006-12-16 18:31,2.912,0.05,235.81,12.4,0,1,17
2006-12-16 18:32,2.608,0.052,235.41,11,0,1,17
2006-12-16 18:33,2.714,0.162,234.82,11.6,0,0,17
2006-12-16 18:34,3.538,0.086,233.76,15.6,0,1,16
2006-12-16 18:35,6.072,0,232.48,26.4,0,27,17
2006-12-16 18:36,4.536,0,233.54,19.4,0,1,17
2006-12-16 18:37,4.408,0,232.32,18.8,0,1,16
2006-12-16 18:38,2.912,0.048,234.02,13,0,1,17
2006-12-16 18:39,2.326,0.054,234.76,9.8,0,1,17
2006-12-16 18:40,2.264,0.054,234.67,9.6,0,1,17
2006-12-16 18:41,2.27,0.054,235.27,9.6,0,1,17
2006-12-16 18:42,2.258,0.054,235.12,9.6,0,1,17
2006-12-16 18:43,2.188,0.068,235.8,9.2,0,1,17
2006-12-16 18:44,2.978,0.166,234.81,13.2,0,1,17
2006-12-16 18:45,4.2,0.174,234.38,17.8,0,1,17
2006-12-16 18:46,4.204,0.186,234.2,17.8,0,1,16
2006-12-16 18:47,4.218,0.178,233.98,18,0,1,17
2006-12-16 18:48,2.786,0.188,234.99,12,0,2,17
2006-12-16 18:49,2.54,0.088,234.67,10.8,0,4,17
2006-12-16 18:50,2.496,0.08,233.92,10.6,0,3,17
2006-12-16 18:51,2.336,0.07,233.51,10,0,1,16
2006-12-16 18:52,2.322,0,233.44,9.8,0,0,17
2006-12-16 18:53,2.448,0,233.64,10.6,0,1,17
2006-12-16 18:54,4.298,0,232.39,18.4,0,1,16
2006-12-16 18:55,4.23,0.09,232.25,18.2,0,1,17
2006-12-16 18:56,4.23,0.09,232.32,18.2,0,2,16
2006-12-16 18:57,3.924,0.084,232.79,17,0,1,17
2006-12-16 18:58,4.218,0.09,232.09,18,0,1,17
2006-12-16 18:59,4.224,0.09,231.96,18.2,0,1,16
2006-12-16 19:00,4.07,0.088,231.99,17.4,0,1,17
2006-12-16 19:01,3.612,0.09,232.36,15.6,0,2,16
2006-12-16 19:02,3.458,0.09,232.71,14.8,0,1,17
2006-12-16 19:03,3.434,0.09,232.01,14.8,0,1,16
2006-12-16 19:04,3.366,0,232.78,14.4,0,1,17
2006-12-16 19:05,3.404,0.082,233.08,14.6,0,2,16
2006-12-16 19:06,3.382,0.074,233.69,14.4,0,0,17
2006-12-16 19:07,3.616,0.106,234.44,15.4,0,4,17
2006-12-16 19:08,3.476,0.092,234.6,14.8,0,3,17
2006-12-16 19:09,3.394,0.064,235.12,14.4,0,0,17
